month_date,metric_value,metric_name,series_type,fed_funds_rate
2011-11-01,5.2718286655683695,Default Rate %,Historical,0.08
2011-12-01,4.606525911708253,Default Rate %,Historical,0.07
2012-01-01,5.091649694501019,Default Rate %,Historical,0.08
2012-02-01,4.8019207683073235,Default Rate %,Historical,0.1
2012-03-01,4.753340184994862,Default Rate %,Historical,0.13
2012-04-01,4.286520022560632,Default Rate %,Historical,0.14
2012-05-01,4.7596268835206885,Default Rate %,Historical,0.16
2012-06-01,4.29920477137177,Default Rate %,Historical,0.16
2012-07-01,5.049944506104328,Default Rate %,Historical,0.16
2012-08-01,5.6273764258555135,Default Rate %,Historical,0.13
2012-09-01,5.6177585358981315,Default Rate %,Historical,0.14
2012-10-01,5.60814064594075,Default Rate %,Historical,0.16
2014-09-01,5.386929176920974,Default Rate %,Historical,0.09
2014-10-01,5.382882882882883,Default Rate %,Historical,0.09
2014-11-01,6.074411541381928,Default Rate %,Historical,0.09
2014-12-01,5.158893933140734,Default Rate %,Historical,0.12
2015-01-01,5.187530443253776,Default Rate %,Historical,0.11
2015-02-01,6.319883325230919,Default Rate %,Historical,0.11
2015-03-01,5.7797991282925905,Default Rate %,Historical,0.11
2015-04-01,6.233933161953727,Default Rate %,Historical,0.12
2015-05-01,6.449356807931687,Default Rate %,Historical,0.12
2015-06-01,6.664780453909645,Default Rate %,Historical,0.13
2015-10-01,7.526475037821482,Default Rate %,Historical,0.12
2015-11-01,7.449530850156383,Default Rate %,Historical,0.12
2015-12-01,7.222762645914396,Default Rate %,Historical,0.24
2016-01-01,7.82292298362644,Default Rate %,Historical,0.34
2016-02-01,7.648133646567476,Default Rate %,Historical,0.38
2016-03-01,8.004246284501061,Default Rate %,Historical,0.36
2016-04-01,5.9317291550083935,Default Rate %,Historical,0.37
2016-05-01,6.657634991290884,Default Rate %,Historical,0.37
2016-06-01,7.552320291173794,Default Rate %,Historical,0.38
2016-07-01,7.851458885941645,Default Rate %,Historical,0.39
2016-08-01,8.434886499402628,Default Rate %,Historical,0.4
2016-09-01,9.120951751487112,Default Rate %,Historical,0.4
2016-10-01,9.040590405904059,Default Rate %,Historical,0.4
2016-11-01,7.236315086782376,Default Rate %,Historical,0.41
2016-12-01,7.082282832913133,Default Rate %,Historical,0.54
2017-01-01,6.446457112413426,Default Rate %,Historical,0.65
2017-02-01,6.9216757741347905,Default Rate %,Historical,0.66
2017-03-01,7.880642693190512,Default Rate %,Historical,0.79
2017-04-01,7.648970747562296,Default Rate %,Historical,0.9
2017-05-01,7.401480296059212,Default Rate %,Historical,0.91
2017-06-01,8.866995073891626,Default Rate %,Historical,1.04
2017-07-01,8.751539891894566,Default Rate %,Historical,1.15
2017-08-01,8.636084709897506,Default Rate %,Historical,1.16
2019-02-01,6.557891433950423,Default Rate %,Historical,2.4
2019-03-01,8.28851629231256,Default Rate %,Historical,2.41
2019-04-01,7.183308494783905,Default Rate %,Historical,2.42
2019-05-01,7.769869513641756,Default Rate %,Historical,2.39
2019-06-01,7.508427827152926,Default Rate %,Historical,2.38
2019-07-01,7.175177763413057,Default Rate %,Historical,2.4
2019-08-01,7.3643410852713185,Default Rate %,Historical,2.13
2019-09-01,6.547960941987363,Default Rate %,Historical,2.04
2011-11-01,171162700.0,Portfolio Spend,Historical,0.08
2011-12-01,1111535000.0,Portfolio Spend,Historical,0.07
2012-01-01,776265700.0,Portfolio Spend,Historical,0.08
2012-02-01,953717900.0,Portfolio Spend,Historical,0.1
2012-03-01,1057448900.0,Portfolio Spend,Historical,0.13
2012-04-01,947839200.0,Portfolio Spend,Historical,0.14
2012-05-01,1064383900.0,Portfolio Spend,Historical,0.16
2012-06-01,1240571000.0,Portfolio Spend,Historical,0.16
2012-07-01,1150007000.0,Portfolio Spend,Historical,0.16
2012-08-01,420307500.0,Portfolio Spend,Historical,0.13
2012-09-01,449269076.0,Portfolio Spend,Historical,0.14
2012-10-01,478230652.0,Portfolio Spend,Historical,0.16
2014-09-01,1144346900.0,Portfolio Spend,Historical,0.09
2014-10-01,1350947400.0,Portfolio Spend,Historical,0.09
2014-11-01,1114331600.0,Portfolio Spend,Historical,0.09
2014-12-01,1616561100.0,Portfolio Spend,Historical,0.12
2015-01-01,1184476800.0,Portfolio Spend,Historical,0.11
2015-02-01,1253590000.0,Portfolio Spend,Historical,0.11
2015-03-01,1603149600.0,Portfolio Spend,Historical,0.11
2015-04-01,404742300.0,Portfolio Spend,Historical,0.12
2015-05-01,456873016.6666667,Portfolio Spend,Historical,0.12
2015-06-01,509003733.3333333,Portfolio Spend,Historical,0.13
2015-10-01,717526600.0,Portfolio Spend,Historical,0.12
2015-11-01,1040539800.0,Portfolio Spend,Historical,0.12
2015-12-01,1305832800.0,Portfolio Spend,Historical,0.24
2016-01-01,975077700.0,Portfolio Spend,Historical,0.34
2016-02-01,1151196900.0,Portfolio Spend,Historical,0.38
2016-03-01,1382400300.0,Portfolio Spend,Historical,0.36
2016-04-01,503882000.0,Portfolio Spend,Historical,0.37
2016-05-01,1545932643.0,Portfolio Spend,Historical,0.37
2016-06-01,1753352600.0,Portfolio Spend,Historical,0.38
2016-07-01,1093920200.0,Portfolio Spend,Historical,0.39
2016-08-01,1350024000.0,Portfolio Spend,Historical,0.4
2016-09-01,1455244000.0,Portfolio Spend,Historical,0.4
2016-10-01,974306200.0,Portfolio Spend,Historical,0.4
2016-11-01,1257681800.0,Portfolio Spend,Historical,0.41
2016-12-01,1707820100.0,Portfolio Spend,Historical,0.54
2017-01-01,1304229900.0,Portfolio Spend,Historical,0.65
2017-02-01,1196709100.0,Portfolio Spend,Historical,0.66
2017-03-01,1707742400.0,Portfolio Spend,Historical,0.79
2017-04-01,1530964500.0,Portfolio Spend,Historical,0.9
2017-05-01,1514014100.0,Portfolio Spend,Historical,0.91
2017-06-01,163348800.0,Portfolio Spend,Historical,1.04
2017-07-01,203847555.0,Portfolio Spend,Historical,1.15
2017-08-01,244346310.0,Portfolio Spend,Historical,1.16
2019-02-01,973323900.0,Portfolio Spend,Historical,2.4
2019-03-01,969086400.0,Portfolio Spend,Historical,2.41
2019-04-01,1069748900.0,Portfolio Spend,Historical,2.42
2019-05-01,1099269800.0,Portfolio Spend,Historical,2.39
2019-06-01,1179979800.0,Portfolio Spend,Historical,2.38
2019-07-01,1063421900.0,Portfolio Spend,Historical,2.4
2019-08-01,1068146000.0,Portfolio Spend,Historical,2.13
2019-09-01,1223570900.0,Portfolio Spend,Historical,2.04
2019-10-01,6.939712778765342,Default Rate %,Forecast,1.83
2019-11-01,7.513019570021053,Default Rate %,Forecast,1.55
2019-12-01,7.557369462366641,Default Rate %,Forecast,1.55
2020-01-01,7.915901183871634,Default Rate %,Forecast,1.55
2020-02-01,7.766082931908885,Default Rate %,Forecast,1.58
2020-03-01,8.391669063950811,Default Rate %,Forecast,0.65
2019-10-01,1373959421.5430198,Portfolio Spend,Forecast,1.83
2019-11-01,1470882524.1154103,Portfolio Spend,Forecast,1.55
2019-12-01,900220758.7155789,Portfolio Spend,Forecast,1.55
2020-01-01,978169671.0935249,Portfolio Spend,Forecast,1.55
2020-02-01,784982572.3603601,Portfolio Spend,Forecast,1.58
2020-03-01,700690168.4049729,Portfolio Spend,Forecast,0.65
